College,Announce date,Type,State  ^Color denotes 2020 presidential result^,All employees  ^(Vaccination required)^,Some employees<sup>1</sup> ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,state_pol
[University of St. Francis](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@University of St. Francis,"August 26, 2021",Private,IL,✓,--,✓,--,D
[University of St. Thomas](https://www.stthomas.edu/healthpromotion/covid-19education/covidvaccine/)@@University of St. Thomas,"August 2, 2021",Private,MN,✓,--,✓,--,D
[University of the District of Columbia](https://mailchi.mp/bff264b02cf6/udc-to-require-vaccines-reopen-campuses-for-fall-2021?e=1f0f8d5b11)@@University of the District of Columbia,"May 3, 2021",Public,DC,✓,--,✓,--,D
[University of the Pacific](https://www.pacific.edu/pacific-newsroom/pacific-require-students-be-vaccinated-covid-19-0)@@University of the Pacific,"May 13, 2021",Private,CA,✓,--,✓,--,D
University of the Sciences,"April 29, 2021",Private,PA,--,--,✓,--,D
[University of the West](https://www.uwest.edu/coronavirus-information-for-the-uwest-community/)@@University of the West,"July 22, 2021",Private,CA,✓,--,✓,--,D
[University of Toledo](https://www.utoledo.edu/coronavirus/vaccine/requirement.html)@@University of Toledo,"September 1, 2021",Public,OH,✓,--,✓,--,R
[University of Tulsa](https://www.newson6.com/story/61798d9fceb47c0bfa0edc91/university-of-tulsa-to-require-employees-to-be-vaccinated-against-covid19-by-dec-8)@@University of Tulsa,"October 27, 2021",Private,OK,✓,--,--,--,R
[University of Utah](https://coronavirus.utah.edu/)@@University of Utah,"September 8, 2021",Public,UT,--,--,✓,--,R
[University of Vermont](https://www.uvm.edu/uvmnews/news/uvm-require-coronavirus-vaccination-students-once-full-fda-approval-granted)@@University of Vermont,"June 9, 2021",Public,VT,--,--,✓,--,D
[University of Virginia](https://coronavirus.virginia.edu/updates/important-information-about-fall-2021)@@University of Virginia,"May 20, 2021",Public,VA,✓,--,✓,--,D
[University of Washington at Bothell](https://www.washington.edu/coronavirus/2021/05/03/uw-student-vaccination-requirement/)@@University of Washington at Bothell,"May 3, 2021",Public,WA,✓,--,✓,--,D
[University of Washington at Seattle](https://www.washington.edu/coronavirus/2021/05/03/uw-student-vaccination-requirement/)@@University of Washington at Seattle,"May 3, 2021",Public,WA,✓,--,✓,--,D
[University of Washington at Tacoma](https://www.washington.edu/coronavirus/2021/05/03/uw-student-vaccination-requirement/)@@University of Washington at Tacoma,"May 3, 2021",Public,WA,✓,--,✓,--,D
[University of Wisconsin-Madison](https://news.wisc.edu/83638-2/)@@University of Wisconsin-Madison,"November 11, 2021",Public,WI,✓,--,--,--,D
[Upstate Medical University](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Upstate Medical University,"May 10, 2021",Public,NY,--,--,✓,--,D
[Ursinus College](https://www.ursinus.edu/live/blurbs/2910-may-27-information-on-vaccination-requirement)@@Ursinus College,"May 27, 2021",Private,PA,--,--,✓,--,D
[Utah State University](https://www.usu.edu/today/story/usu-to-require-student-vaccine-for-spring-semester)@@Utah State University,"August 27, 2021",Public,UT,--,--,✓,--,R
[Utica College](https://www.utica.edu/covid-immunization)@@Utica College,"June 25, 2021",Private,NY,✓,--,✓,--,D
[Valparaiso University](https://www.valpo.edu/looking-forward/campus-messages/covid-19-vaccination-required-for-valpo-employees/)@@Valparaiso University,"April 27, 2021",Private,IN,✓,--,✓,--,R
[Vanderbilt University](https://www.vanderbilt.edu/coronavirus/)@@Vanderbilt University,"May 17, 2021",Private,TN,✓,--,✓,--,R
[VanderCook College of Music](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@VanderCook College of Music,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Vassar College](https://www.poughkeepsiejournal.com/story/news/education/2021/04/15/vassar-require-vaccinations-marist-dcc-bard-college-commencements/7233335002/)@@Vassar College,"April 14, 2021",Private,NY,✓,--,✓,--,D
[Vermont Law School](https://www.vermontlaw.edu/resources/covid19)@@Vermont Law School,--,Private,VT,✓,--,✓,--,D
[Villanova University](https://www1.villanova.edu/university/return-to-campus/vaccine-information/vaccine-faqs.html)@@Villanova University,"June 3, 2021",Private,PA,✓,--,✓,--,D
[Virginia Commonwealth University](https://together.vcu.edu/news/masking-requirement-and-employee-vaccination/)@@Virginia Commonwealth University,--,Public,VA,✓,--,✓,--,D
[Virginia Military Institute](https://www.vmi.edu/safereturn/)@@Virginia Military Institute,--,Public,VA,--,--,✓,--,D
[Virginia Polytechnic Institute and State University](https://vtx.vt.edu/articles/2021/06/president-message-060821.html)@@Virginia Polytechnic Institute and State University,"June 8, 2021",Public,VA,✓,--,✓,--,D
[Virginia State University](https://www.vsu.edu/news/2021/vaccination-requirement.php)@@Virginia State University,"August 6, 2021",Public,VA,✓,--,✓,--,D
[Virginia Union University](https://www.facebook.com/Virginia.Union/photos/a.139459757687/10158317694817688)@@Virginia Union University,--,Private,VA,--,--,✓,--,D
[Virginia Wesleyan University](https://www.vwu.edu/about/news-and-events/features/story/virginia-wesleyan-to-require-covid-19-vaccination-for-fall-2021)@@Virginia Wesleyan University,"April 27, 2021",Private,VA,✓,--,✓,--,D
[Wabash College](https://www.wabash.edu/covid/docs/Wabash_Announces_Vaccine_Requirement.pdf)@@Wabash College,"July 21, 2021",Private,IN,✓,--,✓,--,R
[Wabash Valley College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Wabash Valley College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Wagner College](https://wagner.edu/newsroom/student-vax-policy-announced/)@@Wagner College,"June 3, 2021",Private,NY,--,--,✓,--,D
[Wake Forest University](https://ourwayforward.wfu.edu/2021/04/covid-19-update-intent-to-require-vaccination-current-students/)@@Wake Forest University,"April 20, 2021",Private,NC,✓,--,✓,--,R
[Walla Walla Community College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Walla Walla Community College,"August 20, 2021",Public,WA,✓,--,--,--,D
[Walla Walla University](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Walla Walla University,"August 20, 2021",Private,WA,✓,--,--,--,D
[Warren Wilson College](https://warren-wilson.edu/about/news-events/covid-19-response/)@@Warren Wilson College,"May 4, 2021",Private,NC,✓,--,✓,--,R
[Washington & Jefferson College](https://www.washjeff.edu/covid-vaccination-requirement/)@@Washington & Jefferson College,"June 3, 2021",Private,PA,✓,--,✓,--,D
[Washington Adventist University](https://www.wau.edu/wau-requiring-vaccination-for-fall-semester/)@@Washington Adventist University,"May 25, 2021",Private,MD,✓,--,✓,--,D
[Washington and Lee University](https://my.wlu.edu/covid-19-resources/community-updates/new-guidance-for-vaccinated-individuals-and-vaccination-requirement-for-fall-–-students-faculty-and-staff-5-21)@@Washington and Lee University,"May 21, 2021",Private,VA,✓,--,✓,--,D
[Washington College](https://www.washcoll.edu/coronavirus/files/Vaccine%20Requirement%20Announcement.pdf)@@Washington College,--,Private,MD,--,--,✓,--,D
[Washington County Community College](https://www.mccs.me.edu/covid-19/vaccine-protocol/)@@Washington County Community College,"August 12, 2021",Public,ME,--,--,✓,--,D
[Washington State University](https://from.wsu.edu/president/2021/covid-19-vaccine-requirement/email.html)@@Washington State University,"April 28, 2021",Public,WA,✓,--,✓,--,D
[Washington State University-Everett](https://from.wsu.edu/president/2021/covid-19-vaccine-requirement/email.html)@@Washington State University-Everett,"April 28, 2021",Public,WA,✓,--,✓,--,D
[Washington State University-Spokane](https://from.wsu.edu/president/2021/covid-19-vaccine-requirement/email.html)@@Washington State University-Spokane,"April 28, 2021",Public,WA,✓,--,✓,--,D
[Washington State University-Tri Cities](https://from.wsu.edu/president/2021/covid-19-vaccine-requirement/email.html)@@Washington State University-Tri Cities,"April 28, 2021",Public,WA,✓,--,✓,--,D
[Washington State University-Vancouver](https://from.wsu.edu/president/2021/covid-19-vaccine-requirement/email.html)@@Washington State University-Vancouver,"April 28, 2021",Public,WA,✓,--,✓,--,D
[Washington University in St. Louis](https://covid19.wustl.edu/covid-19-vaccine-requirement/)@@Washington University in St. Louis,"April 28, 2021",Private,MO,✓,--,✓,--,R
[Waubonsee Community College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Waubonsee Community College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Wayne State University](https://www.detroitnews.com/story/news/local/detroit-city/2021/07/26/survey-86-wsu-community-vaccinated-against-covid-19/8092337002/)@@Wayne State University,"July 26, 2021",Public,MI,✓,--,✓,--,D
[Weber State University](https://weber.edu/coronavirus/vaccines.html)@@Weber State University,--,Public,UT,--,--,✓,--,R
[Webster University](https://news.webster.edu/2021/task-force-updates-covid-guidelines-vaccinations-required.php)@@Webster University,"July 22, 2021",Private,MO,✓,--,✓,--,R
[Wellesley College](https://blogs.wellesley.edu/announcements/2021/05/05/vaccination-protocol-for-fall-2021/)@@Wellesley College,"May 5, 2021",Private,MA,✓,--,✓,--,D
[Wells College](https://www.wells.edu/news/2021/06/10/wells-college-require-covid-19-vaccination-all-students-employees)@@Wells College,"June 10, 2021",Private,NY,✓,--,✓,--,D
[Wenatchee Valley College](https://www.wvc.edu/apply/future-students/residence-hall/index.html)@@Wenatchee Valley College,--,Public,WA,✓,--,✓,--,D
[Wesleyan University](http://coronavirus.blogs.wesleyan.edu/2021/04/13/april-13-2021-student-vaccination-requirement-for-fall-2021/)@@Wesleyan University,"April 13, 2021",Private,CT,✓,--,✓,--,D
[Western Colorado University](https://western.edu/covid-19-updates/)@@Western Colorado University,--,Public,CO,✓,--,✓,--,D
[Western Connecticut State University](https://www.ct.edu/covid19#faqs)@@Western Connecticut State University,"June 25, 2021",Public,CT,--,--,✓,--,D
[Western Illinois University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Western Illinois University,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Western Nevada College](https://www.unlv.edu/news-story/nevada-state-board-health-approves-covid-19-vaccination-requirement-students)@@Western Nevada College,"August 20, 2021",Public,NV,✓,--,✓,--,D
[Western New England University](https://www1.wne.edu/coronavirus/update-may-24-2021.cfm)@@Western New England University,"May 24, 2021",Private,MA,--,--,✓,--,D
[Western Oregon University](https://www.opb.org/article/2021/05/10/oregon-universities-covid-19-vaccine-plan/)@@Western Oregon University,"May 10, 2021",Public,OR,✓,--,✓,--,D
[Western University of Health Sciences](https://www.westernu.edu/health/coronavirus-update/updates/)@@Western University of Health Sciences,"September 1, 2021",Private,CA,✓,--,✓,--,D
[Western Washington University](https://president.wwu.edu/fall-2021-vaccine-requirements-students-and-employees)@@Western Washington University,"May 5, 2021",Public,WA,✓,--,✓,--,D
[Westfield State University](https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021)@@Westfield State University,"April 26, 2021",Public,MA,--,--,✓,--,D
[Westminster College](https://westminstercollege.edu/about/risk-management/coronavirus-covid-19-resources/index.html)@@Westminster College,--,Private,UT,✓,--,✓,--,R
[Whatcom Community College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Whatcom Community College,"August 20, 2021",Public,WA,✓,--,--,--,D
[Wheaton College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Wheaton College,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Wheaton College](https://wheatoncollege.blog/on-campus-announcements/president/may-1-update-on-fall-2021-return-to-campus-plans/)@@Wheaton College,"May 1, 2021",Private,MA,--,--,✓,--,D
[Whitman College](https://www.whitman.edu/covid-dashboard/updates/april-23-2021-%E2%80%93-covid-19-and-plans-for-the-fall)@@Whitman College,"April 23, 2021",Private,WA,✓,--,✓,--,D
[Whittier College](https://www.whittier.edu/covid19/vaccine)@@Whittier College,--,Private,CA,✓,--,✓,--,D
[Whitworth University](https://www.whitworth.edu/cms/covid-19/frequently-asked-questions/vaccinations/)@@Whitworth University,"June 16, 2021",Private,WA,✓,--,✓,--,D
[Wichita State University](https://www.wichita.edu/about/COVID-19/announcements.php#oct2221)@@Wichita State University,"October 22, 2021",Public,KS,✓,--,--,--,R
[Widener University](https://www.widener.edu/coronavirus)@@Widener University,--,Private,PA,✓,--,✓,--,D
[Willamette University](https://willamette.edu/offices/wellness/coronavirus/vaccination-policy/index.html)@@Willamette University,"April 21, 2021",Private,OR,✓,--,✓,--,D
[William & Mary](https://www.wm.edu/sites/pathforward/health/vaccinations/index.php)@@William & Mary,"May 18, 2021",Public,VA,✓,--,✓,--,D
[William James College](https://www.williamjames.edu/about/welcome/President-s-Updates.cfm)@@William James College,"May 5, 2021",Private,MA,✓,--,✓,--,D
[William Paterson University](https://myemail.constantcontact.com/WP-Vaccine-Requirements-Update.html?soid=1132109892475&aid=4MVKL3TWSCw)@@William Paterson University,"June 23, 2021",Public,NJ,--,--,✓,--,D
[William Rainey Harper College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@William Rainey Harper College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Williams College](https://president.williams.edu/writings-and-remarks/student-vaccine-requirement-for-next-fall/)@@Williams College,"April 23, 2021",Private,MA,✓,--,✓,--,D
[Williamson College of the Trades](https://www.williamson.edu/covid-dashboard/)@@Williamson College of the Trades,--,Private,PA,✓,--,✓,--,D
[Wilmington College](https://www.wilmington.edu/about/covid-19/)@@Wilmington College,"September 17, 2021",Private,OH,✓,--,✓,--,R
[Windward Community College](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@Windward Community College,"May 17, 2021",Public,HI,--,--,✓,--,D
[Wofford College](https://www.wofford.edu/coronavirus/updates)@@Wofford College,"April 22, 2021",Private,SC,✓,--,✓,--,R
[Woodbury University](https://woodbury.edu/news/campus-entry/)@@Woodbury University,"August 11, 2021",Private,CA,✓,--,✓,--,D
